[I 2024-01-24 02:21:51,041] Trial 82 finished with value: 0.3008722960948944 and parameters: {'embedding_dim': 350, 'lstm_units': 110, 'dropout_rate': 0.25, 'l2_reg': 1.8428614510908964e-06, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:24:09,137] Trial 83 finished with value: 0.30301541090011597 and parameters: {'embedding_dim': 380, 'lstm_units': 97, 'dropout_rate': 0.25, 'l2_reg': 1.927265057609386e-06, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:26:26,169] Trial 84 finished with value: 0.3115778863430023 and parameters: {'embedding_dim': 346, 'lstm_units': 132, 'dropout_rate': 0.5, 'l2_reg': 2.8981325032998684e-06, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:28:34,891] Trial 85 finished with value: 0.3165985345840454 and parameters: {'embedding_dim': 158, 'lstm_units': 144, 'dropout_rate': 0.25, 'l2_reg': 1.7208548332128281e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:30:46,911] Trial 86 finished with value: 0.30743536353111267 and parameters: {'embedding_dim': 291, 'lstm_units': 108, 'dropout_rate': 0.25, 'l2_reg': 1.5431011870595393e-06, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:31:22,636] Trial 87 finished with value: 0.3028474450111389 and parameters: {'embedding_dim': 376, 'lstm_units': 112, 'dropout_rate': 0.25, 'l2_reg': 2.5235629674431836e-06, 'batch_size': 128, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:33:39,568] Trial 88 finished with value: 0.3109600841999054 and parameters: {'embedding_dim': 354, 'lstm_units': 84, 'dropout_rate': 0.25, 'l2_reg': 3.710513641430431e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:35:05,399] Trial 89 finished with value: 0.30710920691490173 and parameters: {'embedding_dim': 313, 'lstm_units': 121, 'dropout_rate': 0.25, 'l2_reg': 1.9879519573848024e-06, 'batch_size': 32, 'patience_for_early_stopping': 10}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:37:13,078] Trial 90 finished with value: 0.3128347098827362 and parameters: {'embedding_dim': 338, 'lstm_units': 113, 'dropout_rate': 0.5, 'l2_reg': 1.2683021158385143e-06, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:37:50,742] Trial 91 finished with value: 0.3126997947692871 and parameters: {'embedding_dim': 376, 'lstm_units': 94, 'dropout_rate': 0.25, 'l2_reg': 2.4501537427190196e-06, 'batch_size': 128, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:38:25,373] Trial 92 finished with value: 0.32155564427375793 and parameters: {'embedding_dim': 401, 'lstm_units': 108, 'dropout_rate': 0.25, 'l2_reg': 2.7690083436580302e-06, 'batch_size': 128, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
